date,time,code,open,high,low,close,volume,amount
2025-03-20,20250320111500000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,230300,2101328.0000
2025-03-20,20250320112000000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1300000000,100300,915028.0000
2025-03-20,20250320112500000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,198400,1809580.0000
2025-03-20,20250320113000000,sh.600004,9.1200000000,9.1300000000,9.1100000000,9.1200000000,235900,2150888.0000
2025-03-20,20250320130500000,sh.600004,9.1200000000,9.1300000000,9.1100000000,9.1200000000,225300,2055008.0000
2025-03-20,20250320131000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1200000000,88600,807756.0000
2025-03-20,20250320131500000,sh.600004,9.1200000000,9.1300000000,9.1100000000,9.1300000000,117000,1066848.0000
2025-03-20,20250320132000000,sh.600004,9.1300000000,9.1300000000,9.1100000000,9.1100000000,223000,2033800.0000
2025-03-20,20250320132500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1200000000,61100,556876.0000
2025-03-20,20250320133000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1200000000,87200,794936.0000
2025-03-20,20250320133500000,sh.600004,9.1200000000,9.1200000000,9.1100000000,9.1100000000,97300,886856.0000
2025-03-20,20250320134000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,1589300,14475840.0000
2025-03-20,20250320134500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,419100,3817904.0000
2025-03-20,20250320135000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,80100,729512.0000
2025-03-20,20250320135500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,108600,988824.0000
2025-03-20,20250320140000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,139700,1272160.0000
2025-03-20,20250320140500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,261400,2379000.0000
2025-03-20,20250320141000000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1000000000,75300,685568.0000
2025-03-20,20250320141500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,66600,606240.0000
2025-03-20,20250320142000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,586900,5341080.0000
2025-03-20,20250320142500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,160200,1457992.0000
2025-03-20,20250320143000000,sh.600004,9.1000000000,9.1000000000,9.0900000000,9.0900000000,418900,3810800.0000
2025-03-20,20250320143500000,sh.600004,9.1000000000,9.1000000000,9.0900000000,9.0900000000,247000,2247320.0000
2025-03-20,20250320144000000,sh.600004,9.0900000000,9.1100000000,9.0900000000,9.0900000000,260000,2366016.0000
2025-03-20,20250320144500000,sh.600004,9.0900000000,9.1000000000,9.0900000000,9.1000000000,121600,1105760.0000
2025-03-20,20250320145000000,sh.600004,9.0900000000,9.1000000000,9.0900000000,9.0900000000,249000,2264968.0000
2025-03-20,20250320145500000,sh.600004,9.1000000000,9.1000000000,9.0900000000,9.1000000000,260000,2364392.0000
2025-03-20,20250320150000000,sh.600004,9.1000000000,9.1000000000,9.0900000000,9.1000000000,583400,5307456.0000
2025-03-21,20250321093500000,sh.600004,9.0800000000,9.1000000000,9.0700000000,9.0900000000,871800,7924502.0000
2025-03-21,20250321094000000,sh.600004,9.1000000000,9.1100000000,9.0900000000,9.1100000000,748300,6811818.0000
2025-03-21,20250321094500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1200000000,729700,6646820.0000
2025-03-21,20250321095000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,197600,1799396.0000
2025-03-21,20250321095500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1000000000,145700,1326564.0000
2025-03-21,20250321100000000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1000000000,172800,1573518.0000
2025-03-21,20250321100500000,sh.600004,9.1000000000,9.1300000000,9.1000000000,9.1300000000,1286900,11732302.0000
2025-03-21,20250321101000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,706200,6447188.0000
2025-03-21,20250321101500000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,132900,1212452.0000
2025-03-21,20250321102000000,sh.600004,9.1300000000,9.1400000000,9.1200000000,9.1400000000,907900,8291104.0000
2025-03-21,20250321102500000,sh.600004,9.1300000000,9.1500000000,9.1300000000,9.1300000000,526900,4815544.0000
2025-03-21,20250321103000000,sh.600004,9.1400000000,9.1400000000,9.1200000000,9.1300000000,258800,2362592.0000
2025-03-21,20250321103500000,sh.600004,9.1300000000,9.1400000000,9.1200000000,9.1200000000,265400,2422592.0000
2025-03-21,20250321104000000,sh.600004,9.1200000000,9.1200000000,9.1100000000,9.1200000000,148000,1349600.0000
2025-03-21,20250321104500000,sh.600004,9.1200000000,9.1200000000,9.1100000000,9.1200000000,114600,1044424.0000
2025-03-21,20250321105000000,sh.600004,9.1200000000,9.1200000000,9.1100000000,9.1200000000,172600,1572600.0000
2025-03-21,20250321105500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,72900,664328.0000
2025-03-21,20250321110000000,sh.600004,9.1200000000,9.1200000000,9.1000000000,9.1100000000,353900,3223120.0000
2025-03-21,20250321110500000,sh.600004,9.1000000000,9.1100000000,9.0900000000,9.1000000000,459200,4178424.0000
2025-03-21,20250321111000000,sh.600004,9.1000000000,9.1100000000,9.0900000000,9.1100000000,414700,3773352.0000
2025-03-21,20250321111500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1000000000,50400,458784.0000
2025-03-21,20250321112000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,74200,675496.0000
2025-03-21,20250321112500000,sh.600004,9.1100000000,9.1100000000,9.0900000000,9.1000000000,304900,2774144.0000
2025-03-21,20250321113000000,sh.600004,9.1000000000,9.1000000000,9.0900000000,9.0900000000,163700,1488192.0000
2025-03-21,20250321130500000,sh.600004,9.0900000000,9.1000000000,9.0700000000,9.0800000000,904900,8220040.0000
2025-03-21,20250321131000000,sh.600004,9.0800000000,9.0900000000,9.0700000000,9.0700000000,337100,3060024.0000
2025-03-21,20250321131500000,sh.600004,9.0700000000,9.0800000000,9.0700000000,9.0800000000,475200,4310752.0000
2025-03-21,20250321132000000,sh.600004,9.0800000000,9.0800000000,9.0700000000,9.0800000000,172600,1566216.0000
2025-03-21,20250321132500000,sh.600004,9.0800000000,9.0900000000,9.0700000000,9.0900000000,391600,3555016.0000
2025-03-21,20250321133000000,sh.600004,9.0800000000,9.0900000000,9.0700000000,9.0800000000,386600,3509256.0000
2025-03-21,20250321133500000,sh.600004,9.0800000000,9.0800000000,9.0600000000,9.0600000000,680400,6169840.0000
2025-03-21,20250321134000000,sh.600004,9.0600000000,9.0700000000,9.0600000000,9.0600000000,199800,1811040.0000
2025-03-21,20250321134500000,sh.600004,9.0600000000,9.0700000000,9.0300000000,9.0400000000,2792800,25267936.0000
2025-03-21,20250321135000000,sh.600004,9.0400000000,9.0500000000,9.0200000000,9.0200000000,1758000,15874480.0000
2025-03-21,20250321135500000,sh.600004,9.0200000000,9.0400000000,9.0200000000,9.0400000000,527800,4764080.0000
2025-03-21,20250321140000000,sh.600004,9.0400000000,9.0500000000,9.0300000000,9.0400000000,663400,5998320.0000
2025-03-21,20250321140500000,sh.600004,9.0500000000,9.0500000000,9.0200000000,9.0200000000,784500,7083904.0000
2025-03-21,20250321141000000,sh.600004,9.0200000000,9.0500000000,9.0200000000,9.0300000000,1346500,12161904.0000
2025-03-21,20250321141500000,sh.600004,9.0300000000,9.0400000000,9.0300000000,9.0300000000,350600,3166704.0000
2025-03-21,20250321142000000,sh.600004,9.0300000000,9.0500000000,9.0300000000,9.0500000000,282500,2553664.0000
2025-03-21,20250321142500000,sh.600004,9.0500000000,9.0500000000,9.0300000000,9.0400000000,244900,2215264.0000
2025-03-21,20250321143000000,sh.600004,9.0500000000,9.0600000000,9.0400000000,9.0600000000,138500,1253232.0000
2025-03-21,20250321143500000,sh.600004,9.0600000000,9.0800000000,9.0500000000,9.0800000000,601500,5454656.0000
2025-03-21,20250321144000000,sh.600004,9.0800000000,9.0900000000,9.0700000000,9.0800000000,501700,4555904.0000
2025-03-21,20250321144500000,sh.600004,9.0900000000,9.0900000000,9.0700000000,9.0900000000,462200,4196912.0000
2025-03-21,20250321145000000,sh.600004,9.0800000000,9.0900000000,9.0800000000,9.0900000000,328400,2983792.0000
2025-03-21,20250321145500000,sh.600004,9.0900000000,9.0900000000,9.0700000000,9.0900000000,514000,4669040.0000
2025-03-21,20250321150000000,sh.600004,9.0900000000,9.0900000000,9.0700000000,9.0800000000,654000,5940768.0000
